name,playcount,listeners,mbid,url,streamable,tags
Beck,123093980,3539193,a8baaa41-50f1-4f63-979e-717c14979dfb,https://www.last.fm/music/Beck,0,"alternative, indie, rock"
Nickelback,102831614,3434912,bc710bcf-8815-42cf-bad2-3f1d12246aeb,https://www.last.fm/music/Nickelback,0,"rock, alternative rock, hard rock"
Simon & Garfunkel,87203562,3001132,5d02f264-e225-41ff-83f7-d9b1f0b1874a,https://www.last.fm/music/Simon+&+Garfunkel,0,"folk, classic rock, singer-songwriter"
Beastie Boys,98829048,2909334,9beb62b2-88db-4cea-801e-162cd344ee53,https://www.last.fm/music/Beastie+Boys,0,"Hip-Hop, rap, alternative"
Sum 41,112155374,2815887,f2eef649-a6d5-4114-afba-e50ab26254d2,https://www.last.fm/music/Sum+41,0,"punk rock, punk, pop punk"
Lily Allen,85568797,2809413,6e0c7c0e-cba5-4c2c-a652-38f71ef5785d,https://www.last.fm/music/Lily+Allen,0,"pop, female vocalists, british"
Jimmy Eat World,86983395,2698952,bbc5b66b-d037-4f26-aecf-0b129e7f876a,https://www.last.fm/music/Jimmy+Eat+World,0,"rock, alternative, emo"
Lynyrd Skynyrd,44795948,2605487,c544ed4d-2390-4442-a83e-1ea2883b09c8,https://www.last.fm/music/Lynyrd+Skynyrd,0,"classic rock, Southern Rock, rock"
The Prodigy,117342613,2587952,4a4ee089-93b1-4470-af9a-6ff575d32704,https://www.last.fm/music/The+Prodigy,0,"electronic, techno, industrial"
Whitney Houston,41666258,2457611,0307edfc-437c-4b48-8700-80680e66a228,https://www.last.fm/music/Whitney+Houston,0,"pop, female vocalists, soul"
B.o.B,34303435,2436393,bb4d8640-fe09-4019-9068-2b22a086012c,https://www.last.fm/music/B.o.B,0,"Hip-Hop, rap, hip hop"
Jessie J,42829875,2293778,d24fb461-dee8-41fc-bb15-2f13bb2644a6,https://www.last.fm/music/Jessie+J,0,"pop, british, female vocalists"
Gotye,40129557,2270640,6f6fd596-76e0-4b82-aa37-f558ac2d337b,https://www.last.fm/music/Gotye,0,"indie, electronic, alternative"
Ludacris,23665863,2260343,0638ba22-040f-438d-83a5-9b670c4adaf5,https://www.last.fm/music/Ludacris,0,"rap, Hip-Hop, Dirty South"
Avenged Sevenfold,137483057,2225318,24e1b53c-3085-4581-8472-0b0088d2508c,https://www.last.fm/music/Avenged+Sevenfold,0,"metalcore, metal, hard rock"
Sean Paul,29542600,2222113,c3da3346-2643-48a7-93cd-011f6834b3d7,https://www.last.fm/music/Sean+Paul,0,"dancehall, reggae, Hip-Hop"
Sonic Youth,98971852,2208818,be04c6a7-f7e8-4236-8124-3883d05eb259,https://www.last.fm/music/Sonic+Youth,0,"alternative, experimental, post-punk"
Mika,52054430,2145466,e4914285-d20d-4fc2-ae32-42cba8aeeed0,https://www.last.fm/music/Mika,0,"pop, british, britpop"
Neil Young,79950514,2106618,75167b8b-44e4-407b-9d35-effe87b223cf,https://www.last.fm/music/Neil+Young,0,"classic rock, singer-songwriter, rock"
Leona Lewis,32035379,2083037,8d552dfc-648f-401f-90de-e925013ca537,https://www.last.fm/music/Leona+Lewis,0,"pop, female vocalists, soul"
The Postal Service,54602537,2046601,299278d3-25dd-4f30-bae4-5b571c28034d,https://www.last.fm/music/The+Postal+Service,0,"indie, electronic, indie pop"
Tenacious D,62700440,1968894,148ddea2-6839-4354-8e2c-5dfadf136b7f,https://www.last.fm/music/Tenacious+D,0,"rock, comedy, hard rock"
Damien Rice,58394154,1954718,2119beb8-6ac5-4f21-82a4-b831c90c0024,https://www.last.fm/music/Damien+Rice,0,"singer-songwriter, acoustic, indie"
Lou Reed,40549254,1946680,9d1ebcfe-4c15-4d18-95d3-d919898638a1,https://www.last.fm/music/Lou+Reed,0,"rock, classic rock, singer-songwriter"
All Time Low,95061511,1937768,62162215-b023-4f0e-84bd-1e9412d5b32c,https://www.last.fm/music/All+Time+Low,0,"pop punk, rock, powerpop"
LMFAO,24393883,1882743,ed5d9086-e8cd-473a-b96c-d81ad6c98f0d,https://www.last.fm/music/LMFAO,0,"electronic, Hip-Hop, electro"
Billie Holiday,39523963,1878462,d59c4cda-11d9-48db-8bfe-b557ee602aed,https://www.last.fm/music/Billie+Holiday,0,"jazz, blues, female vocalists"
Travis,44617662,1878279,960607c6-b0e3-483d-be67-8232eb50eb95,https://www.last.fm/music/Travis,0,"britpop, indie, rock"
Goldfrapp,52579426,1851399,7b885d42-3c41-4f43-9944-a5855ec5155e,https://www.last.fm/music/Goldfrapp,0,"electronic, trip-hop, female vocalists"
Lifehouse,42040847,1834979,04591295-6d94-45cb-b6c7-1ae17c6f380e,https://www.last.fm/music/Lifehouse,0,"rock, alternative rock, alternative"
PJ Harvey,81018886,1829299,e795e03d-b5d5-4a5f-834d-162cfb308a2c,https://www.last.fm/music/PJ+Harvey,0,"female vocalists, alternative, rock"
Editors,61517547,1822271,0efe858c-89e5-4e47-906a-356fa953fd6e,https://www.last.fm/music/Editors,0,"seen live, indie, indie rock"
Sara Bareilles,35698932,1793186,e54be6b7-5c26-4b47-bb3f-c137429b9b55,https://www.last.fm/music/Sara+Bareilles,0,"female vocalists, pop, singer-songwriter"
Wolfmother,36127895,1791704,f0c8f75f-8736-4b1d-b312-9349fcff321d,https://www.last.fm/music/Wolfmother,0,"rock, hard rock, Stoner Rock"
Bloodhound Gang,39223787,1789334,b2dbfc09-b332-408b-a235-1850e41971c5,https://www.last.fm/music/Bloodhound+Gang,0,"rock, alternative, alternative rock"
Eels,55684144,1786134,14387b0f-765c-4852-852f-135335790466,https://www.last.fm/music/Eels,0,"indie, alternative, rock"
Paul Simon,39318601,1747891,05517043-ff78-4988-9c22-88c68588ebb9,https://www.last.fm/music/Paul+Simon,0,"singer-songwriter, folk, classic rock"
Judas Priest,83400552,1743870,6b335658-22c8-485d-93de-0bc29a1d0349,https://www.last.fm/music/Judas+Priest,0,"heavy metal, metal, hard rock"
Colbie Caillat,27152249,1743337,efc8a006-d0c6-4a9b-8cb1-91ca770fa2b9,https://www.last.fm/music/Colbie+Caillat,0,"female vocalists, pop, acoustic"
Fabolous,14174661,1738647,d2299099-e617-46dd-b013-ba0b4c72bc63,https://www.last.fm/music/Fabolous,0,"Hip-Hop, rap, hip hop"
R. Kelly,18151319,1731702,c2d25856-a09a-4d15-b404-77dd19c19e63,https://www.last.fm/music/R.+Kelly,0,"rnb, soul, Hip-Hop"
Nick Cave & The Bad Seeds,83298431,1717432,172e1f1a-504d-4488-b053-6344ba63e6d0,https://www.last.fm/music/Nick+Cave+&+The+Bad+Seeds,0,"post-punk, rock, alternative"
Tom Waits,102796047,1709902,c3aeb863-7b26-4388-94e8-5a240f2be21b,https://www.last.fm/music/Tom+Waits,0,"blues, singer-songwriter, experimental"
The Decemberists,68933392,1705284,97b1142f-c71e-4971-8736-4a8ceaf6b4c3,https://www.last.fm/music/The+Decemberists,0,"indie, indie rock, folk"
Broken Social Scene,61159070,1683321,2eada8f8-056a-4093-bbc2-004909ce743b,https://www.last.fm/music/Broken+Social+Scene,0,"indie, indie rock, Canadian"
Hot Chip,52754646,1674372,d8915e13-d67a-4aa0-9c0b-1f126af951af,https://www.last.fm/music/Hot+Chip,0,"electronic, seen live, indie"
Janis Joplin,27914711,1669198,76c9a186-75bd-436a-85c0-823e3efddb7f,https://www.last.fm/music/Janis+Joplin,0,"classic rock, blues, female vocalists"
Yann Tiersen,83712799,1662221,12d432a3-feb0-49b1-a107-d20751880764,https://www.last.fm/music/Yann+Tiersen,0,"instrumental, Soundtrack, french"
TV on the Radio,48166235,1659591,eb872766-98f6-453d-883f-2ae908a18315,https://www.last.fm/music/TV+on+the+Radio,0,"indie, indie rock, experimental"
Thievery Corporation,53111020,1653274,a505bb48-ad65-4af4-ae47-29149715bff9,https://www.last.fm/music/Thievery+Corporation,0,"chillout, trip-hop, electronic"
Corinne Bailey Rae,21027369,1646777,bc85c6f6-6b06-44c1-8754-ef32c1e6b824,https://www.last.fm/music/Corinne+Bailey+Rae,0,"soul, female vocalists, jazz"
Imogen Heap,41853736,1643267,328d146c-79f1-4eb6-9e40-8ee5710c14e5,https://www.last.fm/music/Imogen+Heap,0,"female vocalists, indie, electronic"
Cher,25960241,1641477,bfcc6d75-a6a5-4bc6-8282-47aec8531818,https://www.last.fm/music/Cher,0,"pop, female vocalists, 80s"
The Ting Tings,28150391,1625393,e618770f-e994-41c3-856f-1eedf56b6d74,https://www.last.fm/music/The+Ting+Tings,0,"indie, electronic, british"
Bing Crosby,19912690,1622494,2437980f-513a-44fc-80f1-b90d9d7fcf8f,https://www.last.fm/music/Bing+Crosby,0,"jazz, swing, oldies"
Zero 7,44468899,1620763,c23b637b-97c6-41eb-8ef6-6c724efc80a8,https://www.last.fm/music/Zero+7,0,"chillout, electronic, downtempo"
Kool & The Gang,15456465,1616182,2469950a-f0ca-425a-bfbc-baf55ea3afde,https://www.last.fm/music/Kool+&+The+Gang,0,"funk, soul, Disco"
James Morrison,25361517,1613884,b49a9595-3576-44bb-8ac0-e26d3f5b42ff,https://www.last.fm/music/James+Morrison,0,"singer-songwriter, british, soul"
Klaxons,34973734,1613112,63011a8d-0117-4f7e-9991-1ef1f337ff70,https://www.last.fm/music/Klaxons,0,"new rave, indie, electronic"
Billy Talent,80008271,1605401,fd429857-5ace-4609-ae54-1502c3bdac11,https://www.last.fm/music/Billy+Talent,0,"punk rock, seen live, rock"
Enya,62764853,1605153,4967c0a1-b9f3-465e-8440-4598fd9fc33c,https://www.last.fm/music/Enya,0,"new age, celtic, female vocalists"
Duffy,23684195,1604776,da4f7583-bb31-49d2-9364-4bdf8bfb351c,https://www.last.fm/music/Duffy,0,"soul, female vocalists, british"
Razorlight,25589023,1603983,f2cb0435-d643-4fab-9587-fdb0279330a7,https://www.last.fm/music/Razorlight,0,"indie, indie rock, seen live"
Sarah McLachlan,24927739,1574982,ce58d854-7430-4231-aa44-97f0144b3372,https://www.last.fm/music/Sarah+McLachlan,0,"female vocalists, singer-songwriter, pop"
Beirut,87003968,1574600,989276c4-d2e8-4599-a2a0-c9ebeba73104,https://www.last.fm/music/Beirut,0,"folk, indie, indie folk"
