activity_date,score,serial_number
5/9/2017,98,DAHDRUQZO
4/10/2017,94,DAL3SBUE0
4/4/2017,95,DAL2PIKJU
8/15/2017,98,DA0ZMAJXZ
9/26/2016,96,DA41DBXA2
5/11/2016,96,DAURQTTVR
2/28/2017,87,DAUNXDSVP
11/3/2016,96,DAFLSXKZ2
2/17/2016,96,DARSNHKM0
4/18/2017,94,DAPAA2DQ3
8/30/2016,86,DALJEXT7F
6/1/2016,94,DACRUG6PA
5/5/2017,90,DAXCJVZIY
1/27/2016,96,DA4XRFEBK
7/13/2017,93,DAF8NWBJD
5/16/2016,90,DAY0JXQ4R
12/8/2015,93,DAZL0RD9K
11/6/2017,95,DAZ1XKD6Y
12/30/2015,90,DA0475114
1/11/2017,97,DAFFEEOY4
12/6/2016,90,DAOKA97PH
2/2/2016,90,DABQZRFDG
10/10/2017,90,DAQKQQRJ4
12/5/2017,85,DAWYI9ITY
1/27/2016,93,DAC40OWZ7
6/19/2017,91,DA2NMIW3K
6/29/2017,95,DAGIOYTEE
9/17/2015,96,DAQERNGD0
4/25/2017,88,DAA7S14SN
12/17/2015,90,DAHQ06LTD
3/6/2017,96,DANTZF7FT
4/7/2016,84,DAHNBPAY0
12/15/2016,91,DAH4TFLZW
3/6/2017,92,DAVEW28O0
7/21/2016,98,DAS7QA0M5
9/15/2017,90,DABTORBEO
12/15/2016,98,DAHESNEZE
8/15/2017,94,DAK51GFJC
5/16/2017,92,DABE0MFBA
5/23/2017,91,DARTEGJXG
6/2/2016,90,DARGN3YF0
1/31/2017,97,DANAVM6Q1
3/29/2016,98,DAJ2SCYEG
2/10/2017,91,DAGVYFCM0
10/4/2017,97,DAYELR0XL
2/2/2016,97,DAX2DWYH9
8/23/2016,95,DAI0X3ZUU
6/23/2016,92,DAEI0KFGL
10/22/2015,96,DA91VB8RJ
12/8/2015,95,DAGEEUHKG
12/1/2017,95,DAWT4GQNP
12/20/2016,96,DAN9X3XG8
10/3/2017,94,DAKUOY0BV
8/2/2017,90,DAKJWKHW3
12/6/2015,94,DASG0JGH0
1/7/2016,93,DABRAIDRT
8/18/2015,97,DARBPN0YC
5/31/2016,95,DAC9ZRD7J
7/21/2016,95,DANWR32QF
11/25/2015,96,DAZMG0DEP
10/4/2016,91,DA00DH2AU
2/23/2016,92,DACZVVXK9
8/27/2015,72,DAKIPEKRK
5/31/2017,86,DAHXYHGZT
10/14/2015,100,DAMOA3CST
8/18/2015,98,DAD1O6HXZ
9/13/2017,84,DAUWPXYMO
9/17/2015,92,DA4QRBXKP
10/7/2016,95,DA9YNSU6B
12/28/2016,91,DAVUTKQB5
11/14/2017,94,DAWYV9F2I
9/27/2016,98,DARMZ47CR
10/16/2015,90,DAATHPJD6
3/29/2016,96,DA1EAQVIY
3/2/2016,94,DAD2A5K2A
1/27/2016,91,DALU6RSNN
3/15/2017,96,DABFR8PA0
10/3/2017,90,DANEK7VXP
5/24/2016,98,DA1Y0WJCN
9/19/2017,95,DADIDBRW2
7/13/2017,96,DAACE0NA8
3/22/2017,94,DAMM79FFV
12/15/2017,97,DAGECH0CP
8/22/2017,91,DALDAYWQT
1/12/2017,98,DAMU60YB0
10/22/2015,91,DAGLZT0GW
10/4/2016,97,DA1POOHTY
11/9/2015,96,DAKTWBHW6
2/3/2016,99,DADL5S6S9
10/25/2016,94,DAUVVZUPQ
6/8/2017,92,DA6B3HUXG
3/2/2017,100,DAAMLGEQO
9/12/2016,96,DAWNINPKE
4/5/2016,95,DAG7GU9LY
12/7/2016,94,DAHVLSXDS
4/19/2016,93,DA0551142
10/15/2015,92,DAVX0A4QW
3/7/2017,97,DA6QMDPOL
11/4/2016,93,DAPJFG6VI
1/19/2016,90,DACH1D1AO
3/28/2017,96,DAKXKV835
7/25/2016,91,DAHT1C1WP
8/27/2015,97,DAETXIKYH
12/8/2017,95,DAKSILRLC
11/1/2017,97,DAHFK8TPD
8/3/2015,96,DAXRN2WV5
2/10/2016,98,DAHQGQNWA
4/14/2017,90,DAGJJXVTR
11/28/2016,97,DAV7JH8OG
11/30/2017,97,DAXYIBXPD
8/17/2016,94,DAOVSIJDE
12/1/2015,95,DAQEVACFP
6/3/2016,92,DACCOROM0
9/27/2017,93,DAZW0Q3UA
9/14/2016,94,DAR7XL3R9
9/2/2015,97,DACZWXHKO
4/12/2017,90,DA0JVCLQZ
12/6/2016,94,DAWTQ1XUW
10/12/2017,96,DARWBAV9U
7/15/2017,91,DAKQK11IY
8/27/2015,93,DAUQJADM0
4/7/2016,93,DA1QKOSRP
5/2/2017,98,DAM3FBINU
10/27/2017,96,DAAT4SX8L
10/5/2017,99,DAIMW9QNR
10/26/2016,90,DALNWKMXR
12/19/2016,96,DA95UZHLK
7/14/2016,98,DASZ2XWS1
8/13/2015,91,DAWACSP3V
11/7/2017,99,DAXUFGZER
6/15/2016,98,DAOV4ROUS
4/11/2017,91,DAWAV0CET
5/17/2016,95,DAEM6M2K3
8/3/2016,100,DA0PEI0SG
9/6/2017,97,DA7MR2KQT
12/27/2017,90,DA60WLUZY
10/18/2017,98,DA7ETW6NY
1/4/2017,92,DAZ0WQYDM
11/17/2016,96,DAJO83ZG2
10/16/2015,90,DAZSA4IBQ
5/31/2017,97,DADDBVH0Y
12/16/2017,98,DA6YREGF2
3/14/2016,91,DASXN6G9F
3/16/2017,93,DAPPHWVQX
10/4/2016,94,DAOF0VGG9
8/5/2015,96,DA02ALLW0
9/7/2017,92,DAG9BSIBX
3/7/2016,98,DA306BXUV
7/11/2017,92,DAZBELNUV
4/19/2017,90,DAZ8XP19V
4/27/2016,95,DAWQOGPBV
12/9/2015,96,DA9TA9VVV
6/23/2016,98,DAJFNDCM7
9/26/2016,91,DA98AJ0TJ
3/1/2016,81,DAMM6KNMK
11/3/2016,91,DAT7GIZ0I
9/14/2017,91,DAQAORJQA
12/9/2016,96,DAVUOHKDP
11/10/2016,99,DA5CENFA4
2/27/2017,95,DAR2S0UUU
7/20/2015,95,DAD3NBKNW
2/22/2017,95,DAJX0KZ0D
11/24/2015,93,DAGLUCXX0
4/19/2016,96,DAJORMSN5
12/11/2017,96,DAPNNNA7Z
10/25/2016,95,DABGDOZSI
5/17/2017,90,DA1KYHJO0
9/6/2017,95,DAMOQ0FAI
10/26/2015,90,DAUVE09B7
1/31/2017,85,DAAR1Q7QB
4/14/2017,96,DAK3LD42R
4/25/2016,95,DAFHF48XQ
11/15/2017,90,DAUTFCIXQ
4/20/2016,96,DABELTZLA
12/14/2015,90,DAT0PRJMW
9/13/2016,92,DAJTEWTZN
10/20/2015,96,DAWGPAYEP
11/30/2015,92,DA85EHBSL
4/7/2016,95,DAUUV9HXP
1/27/2016,90,DA0YJMSGP
8/17/2015,90,DADVWPRVF
8/25/2015,92,DAYCXHDV7
10/25/2016,96,DAKHG7NUH
3/29/2016,90,DAPTAUNF3
7/24/2015,92,DAUA1Q3VR
8/26/2015,95,DATREPZ3N
8/20/2015,84,DAZ0AYC4O
10/13/2015,96,DACUGKYT3
11/4/2015,95,DAYW04U83
2/8/2017,98,DAIEOS2QI
9/10/2015,93,DALQBURZC
7/25/2017,98,DAZ34ILVC
5/10/2017,96,DALDZMT0T
8/11/2015,95,DAGAGDRRP
6/27/2016,91,DAIIW6ZEU
10/5/2015,99,DAFAPTREO
5/20/2016,97,DAJVSNAFD
10/6/2016,90,DALI0KKFE
10/31/2017,94,DAHDWMY4T
9/1/2016,93,DAT4QN0BF
9/20/2017,100,DA0956782
12/7/2015,90,DAMJLZZ0V
5/15/2017,93,DAMHUH3IG
3/2/2016,90,DA1MFG802
3/29/2016,90,DANAQABYR
12/1/2016,90,DATZAUHUV
11/19/2015,96,DAYQ0P6GV
6/15/2017,95,DAKBHH0BP
10/25/2016,94,DAYMJWPVI
11/18/2015,96,DAFMJ9NIP
4/27/2017,99,DAZ1XUARQ
4/27/2017,97,DANEVT3RM
2/8/2017,92,DA0NM1TIM
5/26/2016,91,DAZDYIMHL
6/22/2017,91,DARDXOR8V
8/6/2015,94,DAGMY9HM0
9/20/2016,97,DAJ71MMFV
8/12/2015,97,DAQYB58NN
9/15/2015,91,DA0RKWTRN
5/15/2017,95,DAVT1RCZG
1/27/2016,90,DASXZMQOU
11/25/2015,99,DAZM8CXTY
7/27/2017,97,DAOFBAT7C
4/22/2016,90,DAEBZGOZA
6/5/2017,95,DAGRMBD0E
3/21/2016,93,DABV6N53R
